DATA_TYPE Graph,,,
VERSION Tekscan Pressure Measurement System 6.85-29,,,
HARDWARE 00114-2337,,,
MAP_VERSION 8.0,,,
HW_TYPE 4,,,
VersaPogoFsx 0,,,
VersaV6CuffFsx 0,,,
FILENAME C:\Tekscan\Research\Database\MOVIES\TaquetLéon\TaquL02.fsx,,,
SENSOR_TYPE Socket XL Med,,,
ROWS 16,,,
COLS 15,,,
ROW_SPACING 1.27 centimeters,,,
COL_SPACING 1.27 centimeters,,,
SENSEL_AREA 1.6129 cm2,,,
NOISE_THRESHOLD 3,,,
SECONDS_PER_FRAME 0.005,,,
MICRO_SECOND 1,,,
TIME 11/8/2021 2:09:33.681PM,,,
SCALE_FACTOR  0.10632 N/cm2 / raw,,,
EXPONENT 1.00413,,,
SATURATION_PRESSURE 27.7392 N/cm2 (Exponential Extrapolation),,,
CALIBRATION_POINT_1 2.99895 (Pounds) 77 (Raw Sum) 9 (Number of Loaded Cells),,,
CALIBRATION_MODE_1 Point,,,
CALIBRATION_POINT_2 32 (Pounds) 815 (Raw Sum) 22 (Number of Loaded Cells),,,
CALIBRATION_MODE_2 Point,,,
CALIBRATION_INFO C:\Tekscan\Research\Database\MOVIES\TaquetLéon\TaquL02.fsx,,,
SENSITIVITY Default,,,
243,1.21,70,0
244,1.215,41,0
245,1.22,78,0
246,1.225,93,0
247,1.23,69,0
248,1.235,62,0
249,1.24,82,0
250,1.245,51,0
251,1.25,63,0
252,1.255,86,0
253,1.26,51,0
254,1.265,79,0
255,1.27,48,0
256,1.275,60,0
257,1.28,65,0
258,1.285,80,0
259,1.29,80,0
260,1.295,72,0
261,1.3,112,0.2
262,1.305,87,0
263,1.31,71,0
264,1.315,81,0
265,1.32,80,0
266,1.325,67,0
267,1.33,47,0
268,1.335,63,0
269,1.34,61,0
270,1.345,64,0
271,1.35,73,0
272,1.355,97,0
273,1.36,73,0
274,1.365,81,0
275,1.37,84,0
276,1.375,75,0
277,1.38,84,0
278,1.385,89,0
279,1.39,70,0
280,1.395,33,0
281,1.4,51,0
282,1.405,47,0
283,1.41,54,0
284,1.415,57,0
285,1.42,103,0
286,1.425,100,0
287,1.43,54,0
288,1.435,81,0
289,1.44,63,0
290,1.445,49,0
291,1.45,73,0
292,1.455,53,0
293,1.46,72,0
294,1.465,90,0
295,1.47,84,0
296,1.475,57,0
297,1.48,69,0
298,1.485,47,0
299,1.49,71,0
300,1.495,58,0
301,1.5,78,0
302,1.505,67,0
303,1.51,71,0
304,1.515,55,0
305,1.52,102,0
306,1.525,80,0
307,1.53,85,0
308,1.535,77,0
309,1.54,49,0
310,1.545,93,0
311,1.55,59,0
312,1.555,91,0
313,1.56,100,0
314,1.565,71,0
315,1.57,83,0
316,1.575,54,0
317,1.58,82,0
318,1.585,90,0
319,1.59,88,0
320,1.595,81,0
321,1.6,67,0
322,1.605,52,0
323,1.61,73,0
324,1.615,62,0
325,1.62,75,0
326,1.625,68,0
327,1.63,91,0
328,1.635,69,0
329,1.64,86,0
330,1.645,68,0
331,1.65,103,0
332,1.655,116,0.2
333,1.66,48,0
334,1.665,69,0
335,1.67,72,0
336,1.675,72,0
337,1.68,60,0
338,1.685,68,0
339,1.69,90,0
340,1.695,73,0
341,1.7,84,0
342,1.705,59,0
343,1.71,75,0
344,1.715,58,0
345,1.72,42,0
346,1.725,73,0
347,1.73,63,0
348,1.735,72,0
349,1.74,71,0
350,1.745,70,0
351,1.75,80,0
352,1.755,55,0
353,1.76,61,0
354,1.765,72,0
355,1.77,44,0
356,1.775,83,0
357,1.78,46,0
358,1.785,98,0
359,1.79,73,0
360,1.795,64,0
361,1.8,99,0
362,1.805,77,0
363,1.81,45,0
364,1.815,38,0
365,1.82,82,0
366,1.825,95,0
367,1.83,79,0
368,1.835,58,0
369,1.84,86,0
370,1.845,73,0
371,1.85,68,0
372,1.855,93,0
373,1.86,66,0
374,1.865,86,0
375,1.87,41,0
376,1.875,97,0
377,1.88,61,0
378,1.885,87,0
379,1.89,79,0
380,1.895,68,0
381,1.9,34,0
