angle,TTL
1.22,0
1.27,0
1.30,0
1.27,0
1.30,0
1.34,0
1.35,0
1.35,0
1.37,0
1.36,0
1.37,0
1.35,0
1.34,0
1.35,0
1.36,0
1.36,0
1.37,0
1.37,0
1.40,0
1.41,0
150.15,0
1.43,0
1.43,0
1.41,0
1.41,0
1.44,0
1.46,0
1.46,0
1.41,0
1.40,0
1.43,0
1.42,0
1.38,0
1.36,0
1.36,0
1.37,0
1.36,0
1.33,0
1.35,0
1.40,0
1.39,0
1.39,0
1.39,0
1.42,0
1.41,0
1.40,0
1.39,0
1.41,0
1.41,0
1.37,0
1.39,0
1.41,0
1.38,0
1.35,1
1.34,1
1.34,1
1.35,1
1.34,1
1.35,1
1.37,1
1.37,1
1.38,1
1.38,1
1.40,1
1.42,1
1.43,1
1.41,1
1.43,1
1.43,1
1.42,1
1.44,1
1.46,1
1.50,1
1.48,0
1.47,1
1.54,1
1.61,0
1.60,0
1.61,0
-137.82,0
1.74,0
1.78,0
1.85,0
1.85,0
1.80,0
1.71,0
1.68,0
1.64,0
1.49,0
1.38,0
1.30,0
1.31,0
1.35,0
1.34,0
155.43,0
1.30,0
1.29,0
1.30,0
1.25,0
1.26,0
1.24,0
1.34,0
1.60,0
1.64,0
1.44,0
1.28,0
1.20,0
1.32,0
1.44,0
1.43,0
1.39,0
1.42,0
1.42,0
1.40,0
1.37,0
1.41,0
1.36,0
1.36,0
1.33,0
1.31,0
1.35,0
1.35,0
1.33,0
1.33,0
1.34,0
1.35,0
1.37,0
1.40,0
1.41,0
1.45,0
1.46,0
1.43,0
1.45,0
1.48,0
1.50,0
1.50,0
1.46,0
1.46,0
1.48,0
1.51,0
1.54,0
1.54,0
1.57,0
1.58,0
1.60,0
1.60,0
1.67,0
1.79,0
2.03,0
2.16,0
2.37,0
2.32,0
2.25,0
2.17,0
2.09,0
2.04,0
2.07,0
2.09,0
2.08,0
2.13,0
2.15,0
2.16,0
2.17,0
2.15,0
2.12,0
2.14,0
2.10,0
2.09,0
2.14,0
2.17,0
2.21,0
2.22,0
2.24,0
2.34,0
2.31,0
2.28,0
2.27,0
2.28,0
2.29,0
2.30,0
2.31,0
2.34,0
2.36,0
2.59,0
2.87,0
3.02,0
3.08,0
3.84,0
5.14,0
7.47,0
9.39,0
12.62,0
17.46,0
21.62,0
29.03,0
35.25,0
40.35,0
42.37,0
45.12,0
46.81,0
48.63,0
49.60,0
50.92,0
51.46,0
52.26,0
52.83,0
53.06,0
53.15,0
53.22,0
53.36,0
53.60,0
53.89,0
53.92,0
53.92,0
53.89,0
53.92,0
53.95,0
